Site,Mode,ModeFreq,Method
BX23/0832-M1,96,0.98,Annual
BX23/0838-M1,96,0.94,Annual
BX23/0871-M1,96,nan,Qtr1
BX24/0172-M1,96,0.99,Annual
BX24/0319-M1,96,0.95,Annual
BX24/0346-M1,96,0.9,Annual
BX24/0347-M1,96,0.91,Annual
BX24/0527-M1,96,0.91,Annual
BX24/0947-M1,96,0.83,Annual
BX24/1001-M1,96,0.84,Annual
BX24/1577-M1,96,0.93,Annual
BY16/0002-M1,96,0.99,Annual
BY16/0004-M1,96,0.69,Annual
BY17/0004-M1,96,0.69,Annual
BY17/0033-M1,96,0.98,Annual
BY17/0034-M1,96,0.97,Annual
BY17/0034-M2,96,0.97,Annual
BY18/0009-M1,96,0.94,Annual
BY19/0103-M1,96,nan,Qtr1
BY20/0002-M1,0,0.87,Annual
BY20/0005-M1,96,0.96,Annual
BY20/0006-M1,96,0.98,Annual
BY20/0007-M1,96,0.98,Annual
BY20/0013-M1,96,0.98,Annual
BY20/0015-M1,96,0.99,Annual
BY20/0018-M1,24,0.9,Annual
BY20/0026-M1,96,0.89,Annual
BY20/0043-M1,96,0.98,Annual
BY20/0051-M1,96,0.81,Annual
BY20/0060-M1,96,0.82,Annual
BY20/0061-M1,96,0.86,Annual
BY20/0062-M1,96,0.81,Annual
BY20/0075-M1,96,0.98,Annual
BY20/0078-M1,96,0.86,Annual
BY20/0090-M1,96,0.94,Annual
BY20/0091-M1,96,0.95,Annual
BY20/0097-M1,96,0.98,Annual
BY20/0102-M1,96,0.64,Annual
BY20/0107-M1,96,0.95,Annual
BY20/0110-M1,96,0.78,Annual
BY20/0116-M1,96,0.84,Annual
BY20/0118-M1,0,0.95,Annual
BY20/0124-M1,96,0.77,Annual
BY20/0126-M1,0,0.95,Annual
BY20/0138-M1,96,0.87,Annual
BY20/0139-M1,96,0.94,Annual
BY20/0162-M1,96,0.94,Annual
BY20/0180-M1,96,0.84,Annual
BY20/0182-M1,96,0.95,Annual
BY20/0183-M1,96,0.85,Annual
BY20/0187-M1,96,0.98,Annual
BY20/0218-M1,96,0.6,Annual
BY21/0002-M1,96,0.95,Annual
BY21/0010-M1,96,nan,Qtr1
BY21/0024-M1,96,0.94,Annual
BY21/0027-M1,96,0.97,Annual
BY21/0034-M1,96,0.98,Annual
BY21/0037-M1,96,0.84,Annual
BY21/0039-M1,96,0.75,Annual
BY21/0058-M1,96,0.92,Annual
BY21/0076-M1,96,0.69,Annual
BY21/0080-M1,96,0.96,Annual
BY21/0082-M1,96,0.89,Annual
BY21/0086-M1,96,0.89,Annual
BY21/0093-M1,96,0.98,Annual
BY21/0100-M1,96,0.8,Annual
BY21/0108-M1,96,0.92,Annual
BY21/0114-M1,96,0.92,Annual
BY21/0119-M1,96,0.53,Annual
BY21/0153-M1,96,0.98,Annual
BY21/0156-M1,96,0.92,Annual
BY21/0175-M1,24,0.92,Annual
BY21/0182-M1,96,0.98,Annual
BY21/0201-M1,96,0.47,Annual
BY21/0202-M1,96,0.99,Annual
BY21/0203-M1,96,0.84,Annual
BY21/0205-M1,96,0.61,Annual
BY21/0221-M1,96,0.96,Annual
BY21/0223-M1,96,0.4,Annual
BY21/0280-M1,96,0.99,Annual
BY21/0303-M1,96,0.93,Annual
BY21/0308-M1,96,0.91,Annual
BY21/0331-M1,96,0.51,Annual
BY22/0002-M1,96,0.98,Annual
BY22/0005-M1,96,0.99,Annual
BY22/0006-M1,96,0.98,Annual
BY22/0007-M1,96,0.99,Annual
BY22/0012-M1,0,0.99,Annual
BY22/0014-M1,96,0.94,Annual
BY22/0015-M1,96,0.99,Annual
BY22/0016-M1,96,0.89,Annual
BY22/0018-M3,96,0.99,Annual
BY22/0018-M4,96,0.99,Annual
BY22/0018-M7,96,0.71,Annual
BY22/0019-M1,96,0.98,Annual
BY22/0019-M2,96,0.97,Annual
BY22/0019-M3,96,0.99,Annual
BY22/0022-M1,96,0.98,Annual
BY22/0027-M1,96,0.85,Annual
BY22/0028-M1,96,0.98,Annual
BY22/0032-M1,96,0.88,Annual
BY22/0034-M1,0,0.99,Annual
BY22/0042-M1,0,0.87,Annual
BY22/0057-M1,0,0.93,Annual
BY22/0059-M1,96,0.99,Annual
BY22/0061-M1,96,0.99,Annual
BY23/0001-M1,96,0.64,Annual
BY23/0007-M1,96,0.95,Annual
BY23/0013-M1,0,0.91,Annual
BY23/0020-M1,96,0.89,Annual
BY23/0022-M1,96,0.85,Annual
BY23/0023-M1,96,0.95,Annual
BY23/0028-M1,96,0.87,Annual
BY23/0753-M1,96,0.87,Annual
BY23/0755-M1,96,0.99,Annual
BY23/0756-M1,96,0.95,Annual
BY23/0760-M1,96,0.96,Annual
BZ15/5108-M1,96,0.78,Annual
BZ15/5111-M1,96,0.66,Annual
BZ18/0001-M1,96,0.65,Annual
BZ18/0008-M1,96,nan,Qtr3
BZ18/0010-M1,96,0.94,Annual
BZ19/0001-M1,96,1,Annual
BZ19/0005-M1,96,0.48,Annual
BZ19/0010-M1,96,0.99,Annual
BZ19/0010-M2,96,0.99,Annual
BZ19/0010-M3,96,0.99,Annual
BZ19/0011-M1,96,0.89,Annual
BZ19/0040-M1,96,0.99,Annual
BZ19/0066-M1,96,0.99,Annual
BZ19/0066-M2,96,0.99,Annual
BZ19/0066-M3,96,0.99,Annual
BZ19/0068-M1,96,0.99,Annual
BZ19/0070-M1,96,0.99,Annual
BZ19/0071-M1,96,0.99,Annual
BZ19/0073-M1,96,,Qtr4
BZ19/0074-M1,96,0.99,Annual
BZ19/0090-M1,96,0.99,Annual
BZ19/0098-M1,24,0.61,Annual
BZ19/0123-M1,96,0.99,Annual
BZ19/0125-M1,96,0.97,Annual
BZ19/0141-M1,96,0.97,Annual
BZ19/0146-M1,96,0.98,Annual
BZ19/0152-M1,96,1,Annual
BZ19/0157-M1,96,0.99,Annual
BZ19/0159-M1,96,0.99,Annual
BZ19/0169-M1,96,0.94,Annual
BZ19/0204-M1,96,0.84,Annual
BZ20/0001-M1,96,0.92,Annual
BZ20/0003-M1,96,0.63,Annual
BZ20/0013-M1,0,0.94,Annual
BZ20/0014-M1,0,0.94,Annual
BZ20/0015-M1,0,0.94,Annual
BZ20/0017-M1,96,0.86,Annual
BZ20/0025-M1,96,0.99,Annual
BZ20/0026-M1,96,0.83,Annual
BZ20/0027-M1,96,0.87,Annual
BZ20/0030-M1,96,0.94,Annual
BZ20/0040-M1,96,,Qtr4
BZ20/0043-M1,96,0.96,Annual
BZ20/0043-M2,96,,Qtr4
BZ20/0045-M1,96,,Qtr4
BZ20/0050-M1,96,0.89,Annual
BZ20/0052-M1,96,nan,Qtr3
BZ20/0053-M1,96,0.64,Annual
BZ20/0054-M1,96,0.86,Annual
BZ20/0055-M1,96,0.95,Annual
BZ20/0056-M1,96,,Qtr4
BZ21/0002-M1,96,0.89,Annual
BZ21/0003-M1,96,0.98,Annual
Bodiam Oak Flat CRC184301 K37/1536 No 1 A17-M1,0,0.96,Annual
CA15/5015-M1,96,0.93,Annual
CA15/5017-M1,96,0.99,Annual
CA15/5018-M1,96,0.98,Annual
CA16/0013-M1,96,0.97,Annual
CA16/0016-M1,96,0.93,Annual
CA16/0017-M1,96,0.93,Annual
CA19/0015-M1,96,0.87,Annual
CA19/0034-M1,96,0.98,Annual
CA19/0038-M1,96,0.98,Annual
CA19/0045-M1,96,nan,Qtr1
CA19/0064-M1,96,0.83,Annual
CA19/0064-M2,96,0.83,Annual
CB17/5001-M1,96,0.93,Annual
CB17/5003-M1,96,0.99,Annual
CB17/5020-M1,96,0.99,Annual
CB17/5023-M1,96,0.99,Annual
CB18/5020-M1,96,0.92,Annual
CB18/5024-M1,96,0.96,Annual
CRC156767-M1,96,,Qtr4
CRC172844-M1,96,0.94,Annual
CRC181808 L36/1597 Bebbington Road-M1,0,0.98,Annual
CRC185222-M1,96,nan,Qtr3
CRC185722-M1,0,0.99,Annual
CRC991963AB.2 KIL Take-M1,96,0.99,Annual
Combined-M1,96,0.97,Annual
Commercial take-M1,0,0.99,Annual
EC101493-M1,96,0.84,Annual
EC127905-M1,96,0.99,Annual
Effluent-M1,96,1,Annual
H37/0024-M1,96,,Qtr4
H38/0035-M1,96,0.84,Annual
H38/0186-M1,96,0.78,Annual
H39/0011-M1,96,0.93,Annual
H39/0012-M1,96,0.99,Annual
H39/0078-M1,96,0.71,Annual
H39/0079-M1,96,0.63,Annual
H39/0082-M1,96,0.96,Annual
H39/0084-M1,96,0.94,Annual
H39/0084-M2,96,0.94,Annual
H39/0098-M1,96,0.93,Annual
H39/0099-M1,96,0.51,Annual
H39/0101-M1,96,0.78,Annual
H39/0116-M1,96,0.98,Annual
H39/0118-M1,96,0.85,Annual
H39/0121-M1,96,1,Annual
H39/0121-M2,96,1,Annual
H39/0121-M3,96,0.72,Annual
H39/0203-M1,96,0.98,Annual
H40/0004-M1,96,0.94,Annual
H40/0008-M1,96,0.91,Annual
H40/0011-M1,96,0.93,Annual
H40/0013-M1,96,0.93,Annual
H40/0014-M1,96,0.99,Annual
H40/0015-M1,96,0.93,Annual
Hindsford - K37/2658-M1,96,nan,Qtr1
I37/0015-M1,96,0.99,Annual
I37/0041-M2,96,0.67,Annual
I37/0055-M1,96,0.97,Annual
I37/0058-M1,96,0.97,Annual
I37/0065-M1,96,0.57,Annual
I38/0061-M1,288,0.75,Annual
I38/0066-M1,96,1,Annual
I38/0067-M1,96,1,Annual
I38/0078-M1,96,1,Annual
I39/0010-M1,96,0.99,Annual
I39/0013-M1,96,0.93,Annual
I39/0015-M1,96,0.76,Annual
I39/0023-M1,96,0.99,Annual
I39/0026-M1,96,0.93,Annual
I39/0026-M2,96,0.93,Annual
I39/0027-M1,72,0.24,Annual
I39/0051-M1,96,0.99,Annual
I39/0051-M2,96,0.12,Annual
I40/0004-M1,96,0.99,Annual
I40/0026-M1,96,0.91,Annual
I40/0145-M1,96,0.99,Annual
I40/0146-M1,96,0.85,Annual
I40/0461-M1,96,0.99,Annual
I40/0524-M1,96,0.95,Annual
I40/0546-M1,96,0.91,Annual
I40/0548-M1,96,0.96,Annual
I40/0549-M1,96,0.96,Annual
I40/0550-M1,96,0.82,Annual
I40/0551-M1,96,0.98,Annual
I40/0551-M2,96,0.98,Annual
I40/0553-M1,96,0.93,Annual
I40/0554-M1,96,0.91,Annual
I40/0558-M1,96,0.99,Annual
