Site,Mode,ModeFreq,Method
K36/0697-M1,96,0.99,Annual
K36/0704-M1,96,0.66,Annual
K36/0758-M1,96,0.96,Annual
K36/0778-M1,96,0.85,Annual
K36/0787-M1,96,0.83,Annual
K36/0788-M1,0,0.98,Annual
K36/0789-M1,96,0.52,Annual
K36/0802-M1,96,0.99,Annual
K36/0804-M1,96,0.86,Annual
K36/0806-M1,96,0.73,Annual
K36/0808-M1,96,0.99,Annual
K36/0815-M1,96,0.93,Annual
K36/0819-M1,96,0.98,Annual
K36/0823-M1,0,0.99,Annual
K36/0824-M1,96,nan,Qtr3
K36/0830-M1,96,0.99,Annual
K36/0836-M1,96,0.59,Annual
K36/0858-M1,96,0.98,Annual
K36/0861-M1,96,0.77,Annual
K36/0869-M1,0,0.88,Annual
K36/0890-M1,96,0.93,Annual
K36/0895-M1,96,0.99,Annual
K36/0919-M1,96,0.99,Annual
K36/0921-M1,96,,Qtr4
K36/0936-M1,96,0.8,Annual
K36/0958-M1,96,0.58,Annual
K36/0962-M1,96,0.92,Annual
K36/0974-M1,0,0.95,Annual
K36/0984-M1,96,0.95,Annual
K36/0996-M1,96,0.96,Annual
K36/1000-M1,96,0.99,Annual
K36/1005-M1,96,0.97,Annual
K36/1006-M1,96,0.99,Annual
K36/1008-M1,96,0.99,Annual
K36/1025-M1,96,0.77,Annual
K36/1029-M1,96,0.99,Annual
K36/1054-M1,96,0.83,Annual
K36/1055-M1,0,0.87,Annual
K36/1067-M1,96,0.95,Annual
K36/1090-M1,96,0.76,Annual
K37/0015-M1,92,,Qtr4
K37/0017-M1,96,0.75,Annual
K37/0020-M1,96,0.88,Annual
K37/0023-M1,96,0.99,Annual
K37/0023-M2,96,0.99,Annual
K37/0024-M1,1440,0.9,Annual
K37/0025-M1,96,nan,Qtr1
K37/0035-M1,96,,Qtr4
K37/0046-M1,96,0.98,Annual
K37/0065-M1,96,0.84,Annual
K37/0068-M1,96,0.9,Annual
K37/0072-M1,96,0.85,Annual
K37/0073-M1,96,0.97,Annual
K37/0075-M1,96,0.73,Annual
K37/0080-M1,96,0.97,Annual
K37/0094-M1,96,0.83,Annual
K37/0107-M1,96,0.84,Annual
K37/0120-M1,96,0.94,Annual
K37/0122-M1,96,0.96,Annual
K37/0138-M1,96,0.99,Annual
K37/0139-M1,96,nan,Qtr1
K37/0142-M1,96,0.99,Annual
K37/0155-M1,96,,Qtr4
K37/0178-M1,0,0.95,Annual
K37/0198-M1,96,0.84,Annual
K37/0225-M1,96,0.84,Annual
K37/0251-M1,96,0.84,Annual
K37/0255-M1,96,0.91,Annual
K37/0281-M1,96,0.86,Annual
K37/0282-M1,96,0.98,Annual
K37/0286-M1,96,0.86,Annual
K37/0316-M1,96,0.89,Annual
K37/0317-M1,96,0.99,Annual
K37/0323-M1,24,0.37,Annual
K37/0327-M1,96,nan,Qtr1
K37/0330-M1,96,0.98,Annual
K37/0341-M1,96,0.99,Annual
K37/0342-M1,96,0.99,Annual
K37/0348-M1,0,0.9,Annual
K37/0354-M1,96,0.92,Annual
K37/0385-M1,96,0.99,Annual
K37/0386-M1,96,0.98,Annual
K37/0388-M1,96,0.97,Annual
K37/0416-M1,96,0.87,Annual
K37/0419-M1,96,0.87,Annual
K37/0427-M1,96,0.85,Annual
K37/0431-M1,96,0.98,Annual
K37/0450-M1,24,0.91,Annual
K37/0456-M1,96,0.96,Annual
K37/0461-M1,96,0.85,Annual
K37/0463-M1,96,0.97,Annual
K37/0492-M1,96,0.93,Annual
K37/0494-M1,96,0.99,Annual
K37/0534-M1,96,0.9,Annual
K37/0537-M1,96,0.86,Annual
K37/0553-M1,96,0.99,Annual
K37/0554-M1,96,0.87,Annual
K37/0556-M1,96,0.95,Annual
K37/0558-M1,96,0.84,Annual
K37/0559-M1,96,0.82,Annual
K37/0564-M1,96,0.99,Annual
K37/0577-M1,0,0.93,Annual
K37/0602-M1,96,0.96,Annual
K37/0619-M1,96,0.85,Annual
K37/0635-M1,0,0.93,Annual
K37/0651-M1,24,0.89,Annual
K37/0652-M1,96,0.88,Annual
K37/0653-M1,96,0.89,Annual
K37/0656-M1,96,0.57,Annual
K37/0659-M1,96,0.99,Annual
K37/0668-M1,96,0.96,Annual
K37/0684-M1,96,0.96,Annual
K37/0686-M1,96,0.85,Annual
K37/0689-M1,96,0.96,Annual
K37/0692-M1,96,0.85,Annual
K37/0695-M1,96,0.39,Annual
K37/0699-M1,96,nan,Qtr3
K37/0709-M1,96,0.94,Annual
K37/0710-M1,96,0.84,Annual
K37/0711-M1,96,0.99,Annual
K37/0712-M1,96,0.99,Annual
K37/0716-M1,96,0.48,Annual
K37/0722-M1,96,0.88,Annual
K37/0727-M1,24,0.92,Annual
K37/0735-M1,96,0.92,Annual
K37/0738-M1,96,0.89,Annual
K37/0751-M1,24,0.9,Annual
K37/0773-M1,96,0.96,Annual
K37/0773-M2,96,0.96,Annual
K37/0774-M1,96,0.94,Annual
K37/0790-M1,96,0.91,Annual
K37/0792-M1,24,0.92,Annual
K37/0796-M1,96,0.95,Annual
K37/0811-M1,96,0.88,Annual
K37/0812-M1,96,0.98,Annual
K37/0816-M1,96,0.99,Annual
K37/0824-M1,96,0.89,Annual
K37/0836-M1,96,0.48,Annual
K37/0837-M1,29,0.39,Annual
K37/0869-M1,96,0.96,Annual
K37/0871-M1,96,0.63,Annual
K37/0879-M1,96,0.69,Annual
K37/0898-M1,96,,Qtr4
K37/0903-M1,96,0.85,Annual
K37/0905-M1,96,0.93,Annual
K37/0944-M1,96,0.78,Annual
K37/0959-M1,96,0.52,Annual
K37/0961-M1,24,0.91,Annual
K37/0971-M1,96,0.91,Annual
K37/0981-M1,96,0.8,Annual
K37/0983-M1,96,0.88,Annual
K37/0996-M1,96,0.79,Annual
K37/0998-M1,96,0.62,Annual
K37/1002-M1,96,nan,Qtr3
K37/1011-M1,0,0.95,Annual
K37/1012-M1,96,0.93,Annual
K37/1016-M1,96,0.49,Annual
K37/1021-M1,96,0.8,Annual
K37/1033-M1,96,,Qtr4
K37/1034-M1,96,nan,Qtr3
K37/1035-M1,96,nan,Qtr3
K37/1036-M1,96,nan,Qtr3
K37/1114-M1,96,0.98,Annual
K37/1250-M1,96,0.99,Annual
K37/1282-M1,96,0.92,Annual
K37/1287-M1,96,0.99,Annual
K37/1289-M1,96,0.87,Annual
K37/1292-M1,96,0.78,Annual
K37/1293-M1,96,0.98,Annual
K37/1294-M1,96,0.98,Annual
K37/1295-M1,96,0.96,Annual
K37/1296-M1,96,0.67,Annual
K37/1297-M1,96,0.9,Annual
K37/1300-M1,96,0.96,Annual
K37/1301-M1,96,0.91,Annual
K37/1305-M1,96,0.89,Annual
K37/1306-M1,96,0.87,Annual
K37/1308-M1,96,0.87,Annual
K37/1309-M1,96,0.85,Annual
K37/1310-M1,96,0.89,Annual
K37/1311-M1,96,0.89,Annual
K37/1312-M1,96,0.85,Annual
K37/1313-M1,96,0.86,Annual
K37/1314-M1,96,0.89,Annual
K37/1315-M1,96,0.84,Annual
K37/1321-M1,96,0.96,Annual
K37/1333-M1,96,0.91,Annual
K37/1338-M1,96,0.76,Annual
K37/1339-M1,96,0.81,Annual
K37/1360-M1,96,0.98,Annual
K37/1386-M1,96,0.99,Annual
K37/1388-M1,96,0.75,Annual
K37/1391-M1,96,0.73,Annual
K37/1397-M1,0,0.53,Annual
K37/1407-M1,96,0.99,Annual
K37/1408-M1,96,0.99,Annual
K37/1409-M1,96,0.99,Annual
K37/1415-M1,96,0.87,Annual
K37/1430-M1,96,0.98,Annual
K37/1434-M1,96,0.88,Annual
K37/1445-M1,96,0.92,Annual
K37/1451-M1,96,0.85,Annual
K37/1454-M1,96,0.6,Annual
K37/1457-M1,96,0.85,Annual
K37/1458-M1,96,0.88,Annual
K37/1459-M1,96,0.92,Annual
K37/1461-M1,96,0.99,Annual
K37/1466-M1,96,0.63,Annual
K37/1474-M1,96,0.99,Annual
K37/1484-M1,96,nan,Qtr1
K37/1491-M1,96,0.94,Annual
K37/1500-M1,96,0.81,Annual
K37/1502-M1,96,nan,Qtr3
K37/1504-M1,96,,Qtr4
K37/1505-M1,0,0.69,Annual
K37/1506-M1,96,,Qtr4
K37/1507-M1,96,0.87,Annual
K37/1509-M1,96,nan,Qtr3
K37/1510-M1,0,0.77,Annual
K37/1533-M1,96,0.92,Annual
K37/1534-M1,96,0.98,Annual
K37/1535-M1,96,0.83,Annual
K37/1536-M1,96,0.81,Annual
K37/1537-M1,96,0.87,Annual
K37/1543-M1,0,0.96,Annual
K37/1546-M1,96,0.91,Annual
K37/1555-M1,96,0.98,Annual
K37/1566-M1,96,0.93,Annual
K37/1567-M1,96,,Qtr4
K37/1574-M1,96,0.99,Annual
K37/1576-M1,96,nan,Qtr1
K37/1596-M1,96,0.74,Annual
K37/1597-M1,96,0.92,Annual
K37/1598-M1,96,0.97,Annual
K37/1600-M1,96,0.94,Annual
K37/1602-M1,96,0.94,Annual
K37/1603-M1,96,0.87,Annual
K37/1607-M1,96,nan,Qtr3
K37/1608-M1,0,0.95,Annual
K37/1609-M1,96,nan,Qtr3
K37/1614-M1,96,,Qtr4
K37/1615-M1,0,0.95,Annual
K37/1616-M1,96,0.75,Annual
K37/1617-M1,96,0.86,Annual
K37/1647-M1,0,0.98,Annual
K37/1648-M1,96,0.99,Annual
K37/1649-M1,96,0.54,Annual
K37/1650-M1,96,0.96,Annual
K37/1652-M1,96,0.58,Annual
K37/1663-M1,96,0.83,Annual
K37/1671-M1,0,0.96,Annual
K37/1679-M1,96,0.98,Annual
K37/1685-M1,24,0.92,Annual
K37/1687-M1,96,0.5,Annual
K37/1691-M1,96,0.99,Annual
K37/1696-M1,96,0.92,Annual
K37/1697-M1,96,0.9,Annual
K37/1698-M1,96,0.89,Annual
K37/1708-M1,96,0.91,Annual
K37/1712-M1,96,0.98,Annual
K37/1713-M1,96,0.98,Annual
K37/1724-M1,96,0.81,Annual
K37/1726-M1,96,0.89,Annual
K37/1727-M1,96,0.89,Annual
K37/1728-M1,96,0.79,Annual
K37/1752-M1,96,0.49,Annual
K37/1765-M1,96,0.95,Annual
K37/1766-M1,96,0.96,Annual
K37/1768-M1,96,0.85,Annual
K37/1770-M1,96,,Qtr4
K37/1784-M1,96,0.96,Annual
K37/1793-M1,96,0.91,Annual
K37/1806-M1,96,0.95,Annual
K37/1809-M1,96,0.89,Annual
K37/1819-M1,24,0.9,Annual
K37/1826-M1,96,0.95,Annual
K37/1828-M1,96,0.99,Annual
K37/1830-M1,96,0.85,Annual
K37/1864-M1,96,0.98,Annual
K37/1884-M1,24,0.9,Annual
K37/1907-M1,96,0.89,Annual
K37/1947-M1,96,0.85,Annual
K37/1951-M1,96,0.62,Annual
K37/1952-M1,96,0.94,Annual
K37/1966-M1,96,1,Annual
K37/1967-M1,96,0.96,Annual
K37/1968-M1,96,0.89,Annual
K37/1993-M1,96,0.95,Annual
K37/1997-M1,96,0.94,Annual
K37/2007-M1,24,0.89,Annual
K37/2034-M1,24,0.83,Annual
K37/2036-M1,96,0.96,Annual
K37/2078-M1,96,0.99,Annual
K37/2079-M1,96,0.98,Annual
K37/2080-M1,96,0.99,Annual
K37/2097-M1,96,0.83,Annual
K37/2113-M1,0,0.88,Annual
K37/2114-M1,96,0.97,Annual
K37/2115-M1,96,0.99,Annual
K37/2119-M1,96,0.79,Annual
K37/2135-M1,96,nan,Qtr3
K37/2147-M1,96,0.91,Annual
K37/2148-M1,96,0.92,Annual
K37/2150-M1,96,0.48,Annual
K37/2151-M1,96,0.89,Annual
K37/2153-M1,96,0.95,Annual
K37/2154-M1,96,0.64,Annual
K37/2164-M1,96,0.99,Annual
K37/2167-M1,96,,Qtr4
K37/2168-M1,96,0.87,Annual
K37/2169-M1,96,0.86,Annual
K37/2170-M1,96,0.89,Annual
K37/2171-M1,96,0.87,Annual
K37/2184-M1,96,0.86,Annual
K37/2187-M1,0,0.95,Annual
K37/2193-M1,0,0.93,Annual
K37/2194-M1,96,0.89,Annual
K37/2199-M1,96,0.92,Annual
K37/2230-M1,96,0.87,Annual
K37/2231-M1,96,0.88,Annual
K37/2232-M1,96,0.92,Annual
K37/2234-M1,96,0.92,Annual
K37/2235-M1,96,0.92,Annual
K37/2237-M1,96,0.6,Annual
K37/2239-M1,24,0.92,Annual
K37/2243-M1,96,0.91,Annual
K37/2247-M1,96,0.88,Annual
K37/2250-M1,96,0.87,Annual
K37/2258-M1,96,nan,Qtr2
K37/2259-M1,0,0.93,Annual
K37/2270-M1,96,0.96,Annual
K37/2277-M1,96,0.99,Annual
K37/2279-M1,96,0.71,Annual
K37/2280-M1,96,0.96,Annual
K37/2281-M1,96,nan,Qtr3
K37/2282-M1,96,0.48,Annual
K37/2283-M1,96,0.93,Annual
K37/2284-M1,24,0.71,Annual
K37/2285-M1,0,0.86,Annual
K37/2296-M1,0,0.88,Annual
K37/2298-M1,96,nan,Qtr1
K37/2305-M1,96,0.99,Annual
K37/2319-M1,96,nan,Qtr3
K37/2320-M1,96,0.85,Annual
K37/2324-M1,96,0.9,Annual
K37/2329-M1,96,0.98,Annual
K37/2341-M1,96,,Qtr4
K37/2348-M1,0,0.98,Annual
K37/2352-M1,96,0.69,Annual
K37/2353-M1,96,0.8,Annual
K37/2354-M1,96,0.84,Annual
K37/2358-M1,96,0.98,Annual
K37/2366-M1,96,0.64,Annual
K37/2372-M1,96,0.46,Annual
K37/2386-M1,96,0.85,Annual
K37/2391-M1,96,0.99,Annual
K37/2392-M1,96,0.78,Annual
K37/2405-M1,96,0.87,Annual
K37/2410-M1,0,0.95,Annual
K37/2415-M1,96,0.94,Annual
K37/2419-M1,96,0.89,Annual
K37/2420-M1,96,0.85,Annual
K37/2434-M1,96,0.84,Annual
K37/2445-M1,96,0.88,Annual
K37/2448-M1,96,nan,Qtr1
K37/2461-M1,96,0.98,Annual
K37/2462-M1,96,0.74,Annual
K37/2468-M1,96,0.88,Annual
K37/2474-M1,96,0.98,Annual
K37/2477-M1,96,0.99,Annual
K37/2485-M1,96,0.99,Annual
K37/2486-M1,96,0.98,Annual
K37/2489-M1,96,0.75,Annual
K37/2495-M1,96,0.93,Annual
K37/2502-M1,96,0.89,Annual
K37/2531-M1,96,0.63,Annual
K37/2535-M1,96,nan,Qtr3
K37/2549-M1,96,0.98,Annual
K37/2557-M1,24,0.88,Annual
K37/2558-M1,24,0.87,Annual
K37/2569-M1,96,0.95,Annual
K37/2570-M1,96,0.95,Annual
K37/2572-M1,96,nan,Qtr3
K37/2576-M1,96,0.96,Annual
K37/2577-M1,96,0.69,Annual
K37/2578-M1,96,0.92,Annual
K37/2581-M1,96,0.83,Annual
K37/2589-M1,96,0.55,Annual
K37/2613-M1,96,0.56,Annual
K37/2620-M1,96,0.87,Annual
K37/2623-M1,96,1,Annual
K37/2626-M1,96,0.99,Annual
K37/2632-M1,96,0.91,Annual
K37/2633-M1,96,0.87,Annual
K37/2635-M1,96,0.98,Annual
K37/2656-M1,96,nan,Qtr1
K37/2657-M1,0,0.86,Annual
K37/2658-M1,96,nan,Qtr1
K37/2672-M1,96,0.97,Annual
K37/2703-M1,96,0.88,Annual
K37/2706-M1,96,nan,Qtr1
K37/2707-M1,96,0.89,Annual
K37/2728-M1,96,0.93,Annual
K37/2729-M1,96,0.93,Annual
K37/2740-M1,96,0.96,Annual
K37/2748-M1,96,0.98,Annual
K37/2749-M1,96,0.98,Annual
K37/2751-M1,96,0.97,Annual
K37/2762-M1,96,0.97,Annual
K37/2763-M1,96,0.98,Annual
K37/2766-M1,96,0.81,Annual
K37/2767-M1,96,0.92,Annual
K37/2810-M1,96,0.93,Annual
K37/2813-M1,96,0.9,Annual
K37/2821-M1,96,0.74,Annual
K37/2823-M1,96,0.96,Annual
K37/2826-M1,96,0.7,Annual
K37/2826-M2,96,0.92,Annual
K37/2826-M3,96,0.92,Annual
K37/2826-M4,96,0.59,Annual
K37/2826-M5,96,0.92,Annual
K37/2826-M6,96,0.92,Annual
K37/2827-M1,96,0.79,Annual
K37/2827-M10,96,0.92,Annual
K37/2827-M11,96,0.92,Annual
K37/2827-M2,96,0.92,Annual
K37/2827-M3,96,0.92,Annual
K37/2827-M4,96,0.92,Annual
K37/2827-M5,96,0.92,Annual
K37/2827-M6,96,0.91,Annual
K37/2827-M7,96,0.92,Annual
K37/2827-M8,96,0.92,Annual
K37/2827-M9,96,0.92,Annual
K37/2829-M1,96,0.92,Annual
K37/2829-M2,96,0.74,Annual
K37/2829-M3,96,0.92,Annual
K37/2829-M4,96,0.92,Annual
K37/2829-M5,96,0.92,Annual
K37/2834-M1,96,0.89,Annual
K37/2839-M1,96,0.97,Annual
K37/2853-M1,96,0.96,Annual
K37/2854-M1,96,0.72,Annual
K37/2866-M1,96,0.94,Annual
K37/2871-M1,96,0.97,Annual
K37/2875-M1,96,0.95,Annual
K37/2882-M1,96,0.89,Annual
K37/2894-M1,24,0.85,Annual
K37/2900-M1,96,0.69,Annual
K37/2903-M1,96,0.7,Annual
K37/2904-M1,96,0.97,Annual
K37/2905-M1,96,0.96,Annual
K37/2916-M1,96,0.94,Annual
K37/2925-M1,96,nan,Qtr3
K37/2961-M1,96,0.96,Annual
K37/2981-M1,24,0.85,Annual
K37/2983-M1,24,0.86,Annual
K37/2984-M1,96,0.87,Annual
K37/2986-M1,96,0.98,Annual
K37/2991-M1,24,0.92,Annual
K37/3004-M1,24,0.9,Annual
K37/3006-M1,96,0.62,Annual
K37/3007-M1,96,0.99,Annual
K37/3013-M1,96,nan,Qtr1
K37/3014-M1,96,0.91,Annual
K37/3021-M1,96,0.99,Annual
K37/3053-M1,96,0.98,Annual
K37/3054-M1,96,0.95,Annual
K37/3068-M1,96,,Qtr4
K37/3080-M1,96,0.81,Annual
K37/3084-M1,96,,Qtr4
K37/3085-M1,96,0.96,Annual
K37/3087-M1,96,0.98,Annual
K37/3096-M1,96,0.98,Annual
K37/3098-M1,96,0.92,Annual
K37/3099-M1,96,0.86,Annual
K37/3115-M1,96,0.99,Annual
K37/3116-M1,96,nan,Qtr1
K37/3118-M1,96,nan,Qtr1
K37/3123-M1,96,0.93,Annual
K37/3130-M1,96,0.95,Annual
K37/3132-M1,24,0.91,Annual
K37/3134-M1,96,0.83,Annual
K37/3135-M1,96,0.78,Annual
K37/3139-M1,96,0.82,Annual
K37/3141-M1,96,0.96,Annual
K37/3160-M1,96,0.99,Annual
K37/3161-M1,96,nan,Qtr3
K37/3166-M1,96,0.92,Annual
K37/3177-M1,96,,Qtr4
K37/3179-M1,96,,Qtr4
K37/3195-M1,96,0.97,Annual
K37/3200-M1,96,0.39,Annual
K37/3205-M1,96,0.99,Annual
K37/3206-M1,96,0.98,Annual
K37/3207-M1,96,0.99,Annual
K37/3212-M1,24,0.81,Annual
K37/3217-M1,96,nan,Qtr1
K37/3237-M1,96,0.98,Annual
K37/3241-M1,96,0.79,Annual
K37/3252-M1,96,0.8,Annual
K37/3258-M1,96,0.94,Annual
K37/3259-M1,96,0.83,Annual
K37/3266-M1,96,0.86,Annual
K37/3272-M1,96,0.93,Annual
K37/3282-M1,96,0.92,Annual
K37/3285-M1,96,0.93,Annual
K37/3286-M1,96,0.89,Annual
K37/3291-M1,96,0.92,Annual
K37/3307-M1,96,0.92,Annual
K37/3488-M1,96,0.83,Annual
K37/3492-M1,96,0.86,Annual
K37/3500-M1,96,0.87,Annual
K37/3508-M1,96,0.99,Annual
K37/3509-M1,96,0.81,Annual
K37/3514-M1,96,0.87,Annual
K37/3518-M1,96,0.92,Annual
K37/3522-M1,96,0.98,Annual
K37/3522-M2,96,0.92,Annual
K37/3522-M3,96,0.98,Annual
K37/3523-M1,24,0.99,Annual
K37/3523-M2,24,0.99,Annual
K37/3524-M1,96,0.99,Annual
K37/3525-M1,96,0.98,Annual
K37/3543-M1,96,0.86,Annual
K37/3556-M1,24,0.89,Annual
K37/3557-M1,96,0.9,Annual
K37/3561-M1,96,0.96,Annual
K37/3568-M1,96,0.92,Annual
K37/3573-M1,96,0.78,Annual
K37/3574-M1,0,0.88,Annual
K37/3575-M1,96,,Qtr4
K37/3578-M1,96,0.98,Annual
K37/3585-M1,96,0.88,Annual
K37/3598-M1,96,0.89,Annual
K38/0001-M1,96,0.89,Annual
K38/0003-M1,96,0.86,Annual
K38/0005-M1,96,0.99,Annual
K38/0029-M1,96,0.98,Annual
K38/0031-M1,96,0.9,Annual
K38/0032-M1,96,0.9,Annual
K38/0042-M1,96,0.93,Annual
K38/0046-M1,96,0.86,Annual
K38/0053-M1,96,0.83,Annual
K38/0059-M1,96,0.96,Annual
K38/0063-M1,96,0.93,Annual
K38/0069-M1,24,0.99,Annual
K38/0070-M1,96,0.99,Annual
K38/0072-M1,96,0.75,Annual
K38/0088-M1,96,0.99,Annual
K38/0091-M1,96,0.99,Annual
K38/0103-M1,24,0.91,Annual
K38/0133-M1,96,0.94,Annual
K38/0141-M1,96,0.98,Annual
K38/0172-M1,96,1,Annual
K38/0174-M1,96,1,Annual
K38/0182-M1,96,0.99,Annual
K38/0199-M1,96,1,Annual
K38/0202-M1,96,1,Annual
K38/0208-M1,96,1,Annual
K38/0228-M1,96,1,Annual
K38/0248-M1,96,0.8,Annual
K38/0249-M1,0,0.95,Annual
K38/0254-M1,96,0.99,Annual
K38/0256-M1,96,0.93,Annual
K38/0258-M1,96,0.74,Annual
K38/0258-M2,96,nan,Qtr1
K38/0265-M1,96,0.16,Annual
K38/0266-M1,96,0.18,Annual
K38/0270-M1,96,0.99,Annual
K38/0272-M1,96,1,Annual
K38/0273-M1,96,0.95,Annual
K38/0276-M1,96,0.99,Annual
K38/0278-M1,96,1,Annual
K38/0279-M1,96,0.44,Annual
K38/0290-M1,96,1,Annual
K38/0299-M1,96,0.51,Annual
K38/0325-M1,96,0.88,Annual
K38/0327-M1,96,0.99,Annual
K38/0333-M1,96,0.84,Annual
K38/0337-M1,96,0.94,Annual
K38/0339-M1,96,0.99,Annual
K38/0341-M1,96,0.99,Annual
K38/0342-M1,96,0.94,Annual
K38/0342-M2,96,0.96,Annual
K38/0345-M1,96,0.98,Annual
K38/0346-M1,96,0.9,Annual
K38/0348-M1,96,0.96,Annual
K38/0352-M1,96,0.99,Annual
K38/0355-M1,96,0.94,Annual
K38/0366-M1,96,0.95,Annual
K38/0372-M1,96,0.92,Annual
K38/0373-M1,96,0.99,Annual
K38/0374-M1,96,0.97,Annual
K38/0381-M1,96,0.84,Annual
K38/0386-M1,96,0.99,Annual
K38/0386-M2,96,0.99,Annual
K38/0388-M1,96,0.87,Annual
K38/0389-M1,96,0.87,Annual
K38/0392-M1,96,0.99,Annual
K38/0395-M1,96,0.99,Annual
K38/0396-M1,84,0.09,Annual
K38/0397-M1,96,0.26,Annual
K38/0398-M1,96,0.26,Annual
K38/0400-M1,96,0.86,Annual
K38/0401-M1,96,0.91,Annual
K38/0403-M1,96,0.95,Annual
K38/0405-M1,96,0.87,Annual
K38/0414-M1,96,0.97,Annual
K38/0418-M1,96,0.93,Annual
K38/0420-M1,24,0.99,Annual
K38/0444-M1,96,0.92,Annual
K38/0451-M1,96,0.99,Annual
K38/0452-M1,96,1,Annual
K38/0453-M1,96,0.8,Annual
K38/0481-M1,96,0.99,Annual
K38/0482-M1,96,0.96,Annual
K38/0482-M2,96,0.96,Annual
K38/0489-M1,96,0.99,Annual
K38/0600-M1,96,1,Annual
K38/0601-M1,96,1,Annual
K38/0603-M1,96,0.99,Annual
K38/0604-M1,96,0.93,Annual
K38/0609-M1,96,0.98,Annual
K38/0610-M1,96,nan,Qtr3
K38/0613-M1,96,nan,Qtr1
K38/0615-M1,0,0.89,Annual
K38/0617-M1,96,0.84,Annual
K38/0633-M1,96,nan,Qtr1
K38/0634-M1,96,0.84,Annual
K38/0636-M1,96,0.93,Annual
K38/0639-M1,96,0.96,Annual
K38/0640-M1,96,0.87,Annual
K38/0642-M1,96,0.81,Annual
K38/0643-M1,96,,Qtr4
K38/0644-M1,96,0.88,Annual
K38/0645-M1,96,0.83,Annual
K38/0646-M1,96,0.99,Annual
K38/0650-M1,96,,Qtr4
K38/0653-M1,96,0.99,Annual
K38/0655-M1,96,0.69,Annual
K38/0659-M1,96,0.98,Annual
K38/0663-M1,96,0.77,Annual
K38/0670-M1,96,0.99,Annual
K38/0673-M1,96,0.86,Annual
K38/0674-M1,96,0.82,Annual
K38/0681-M1,96,0.99,Annual
K38/0683-M1,96,0.99,Annual
K38/0684-M1,96,0.69,Annual
K38/0691-M1,96,0.98,Annual
K38/0692-M1,96,0.96,Annual
K38/0693-M1,96,0.99,Annual
K38/0694-M1,0,0.84,Annual
K38/0695-M1,96,0.98,Annual
K38/0696-M1,96,0.98,Annual
K38/0701-M1,288,0.99,Annual
K38/0711-M1,60,0.08,Annual
K38/0713-M1,96,0.96,Annual
K38/0714-M1,96,0.99,Annual
K38/0724-M1,96,0.63,Annual
K38/0725-M1,96,0.87,Annual
K38/0729-M1,96,0.99,Annual
K38/0733-M1,96,0.96,Annual
K38/0734-M1,24,0.98,Annual
K38/0734-M2,24,0.98,Annual
K38/0743-M1,96,0.63,Annual
K38/0746-M1,0,0.99,Annual
K38/0749-M1,96,0.99,Annual
K38/0750-M1,96,0.94,Annual
K38/0752-M1,96,0.74,Annual
K38/0759-M1,96,0.98,Annual
K38/0777-M1,96,0.99,Annual
K38/0786-M1,96,0.65,Annual
K38/0787-M1,96,0.99,Annual
K38/0789-M1,96,1,Annual
K38/0795-M1,96,1,Annual
K38/0805-M1,96,0.99,Annual
K38/0821-M1,96,0.99,Annual
K38/0822-M1,96,0.99,Annual
K38/0824-M1,96,0.99,Annual
K38/0827-M1,96,0.99,Annual
K38/0832-M1,96,nan,Qtr1
K38/0838-M1,96,0.82,Annual
K38/0841-M1,96,0.94,Annual
K38/0855-M1,96,0.99,Annual
K38/0863-M1,96,0.73,Annual
K38/0864-M1,96,0.99,Annual
K38/0875-M1,96,0.93,Annual
K38/0877-M1,96,0.92,Annual
K38/0946-M1,96,nan,Qtr1
K38/0947-M1,96,0.86,Annual
K38/0972-M1,96,,Qtr4
K38/0993-M1,96,0.95,Annual
K38/1016-M1,96,0.94,Annual
K38/1032-M1,96,0.98,Annual
K38/1054-M1,96,0.94,Annual
K38/1071-M1,96,0.96,Annual
K38/1085-M1,96,0.99,Annual
K38/1086-M1,96,0.99,Annual
K38/1089-M1,96,0.99,Annual
K38/1094-M1,96,0.89,Annual
K38/1095-M1,96,0.85,Annual
K38/1097-M1,96,0.99,Annual
K38/1226-M1,96,0.91,Annual
K38/1227-M1,96,0.97,Annual
K38/1228-M1,96,0.99,Annual
K38/1229-M1,96,0.99,Annual
K38/1262-M1,96,0.94,Annual
K38/1264-M1,96,0.85,Annual
K38/1266-M1,96,0.98,Annual
K38/1271-M1,96,0.95,Annual
K38/1274-M1,96,0.99,Annual
K38/1275-M1,96,0.58,Annual
K38/1277-M1,96,0.87,Annual
K38/1293-M1,96,0.99,Annual
K38/1299-M1,96,0.99,Annual
K38/1307-M1,96,0.75,Annual
K38/1316-M1,96,0.6,Annual
K38/1333-M1,96,0.86,Annual
K38/1336-M1,24,0.99,Annual
K38/1350-M1,96,0.84,Annual
K38/1354-M1,96,0.97,Annual
K38/1355-M1,96,0.98,Annual
K38/1356-M1,96,0.97,Annual
K38/1362-M1,96,0.93,Annual
K38/1373-M1,96,0.96,Annual
K38/1373-M2,96,0.96,Annual
K38/1374-M1,0,0.87,Annual
K38/1384-M1,96,0.99,Annual
K38/1385-M1,96,0.6,Annual
K38/1386-M1,96,0.99,Annual
K38/1388-M1,96,0.96,Annual
K38/1402-M1,96,0.96,Annual
K38/1403-M1,96,0.98,Annual
K38/1417-M1,96,0.96,Annual
K38/1444-M1,96,0.96,Annual
K38/1445-M1,96,0.98,Annual
